1:Counter({9: 133, 4: 119, 7: 115, 5: 105, 6: 95, 3: 92, 8: 90, 2: 88, 0: 85, 1: 78})
1:Counter({0: 122, 1: 119, 9: 106, 2: 103, 5: 100, 3: 93, 6: 92, 4: 91, 7: 88, 8: 86})
2:Counter({0: 144, 1: 141, 9: 129, 5: 112, 3: 106, 6: 103, 2: 103, 8: 97, 4: 93, 7: 88})
1:Counter({9: 112, 4: 105, 6: 105, 8: 103, 5: 101, 3: 100, 1: 100, 2: 99, 0: 88, 7: 87})
1:Counter({1: 130, 9: 112, 6: 109, 5: 102, 4: 97, 2: 93, 0: 93, 7: 92, 3: 86, 8: 86})
2:Counter({1: 130, 9: 125, 7: 125, 5: 124, 6: 121, 3: 108, 2: 105, 4: 98, 0: 94, 8: 86})
3:Counter({6: 144, 1: 141, 3: 141, 9: 137, 5: 136, 7: 125, 0: 106, 2: 105, 8: 99, 4: 98})
4:Counter({1: 174, 6: 155, 3: 153, 5: 147, 7: 147, 9: 138, 2: 118, 4: 109, 0: 107, 8: 100})
5:Counter({1: 186, 6: 178, 5: 169, 7: 169, 3: 165, 9: 139, 2: 130, 4: 120, 0: 107, 8: 101})
6:Counter({5: 204, 3: 199, 1: 198, 6: 178, 7: 178, 2: 143, 9: 142, 4: 135, 0: 123, 8: 104})
1:Counter({1: 113, 8: 111, 6: 104, 7: 104, 0: 100, 4: 98, 9: 97, 3: 93, 5: 90, 2: 90})
2:Counter({1: 157, 6: 126, 8: 124, 0: 123, 4: 110, 7: 104, 9: 97, 3: 94, 5: 91, 2: 90})
1:Counter({3: 127, 8: 117, 2: 110, 1: 102, 7: 99, 5: 97, 0: 94, 4: 90, 6: 83, 9: 81})
2:Counter({3: 138, 2: 134, 8: 128, 1: 113, 4: 112, 7: 110, 0: 105, 5: 99, 6: 94, 9: 83})
1:Counter({6: 121, 9: 107, 2: 102, 0: 100, 3: 99, 1: 97, 7: 96, 8: 95, 5: 94, 4: 89})
2:Counter({2: 135, 6: 133, 3: 122, 0: 122, 9: 108, 8: 107, 7: 107, 1: 97, 5: 94, 4: 91})
1:Counter({1: 118, 3: 109, 8: 109, 6: 108, 0: 106, 2: 94, 5: 93, 9: 90, 4: 89, 7: 84})
2:Counter({1: 141, 7: 128, 9: 112, 6: 111, 3: 110, 8: 109, 0: 106, 5: 105, 2: 105, 4: 89})
1:Counter({5: 120, 8: 111, 9: 104, 3: 103, 2: 101, 7: 100, 0: 95, 1: 93, 4: 92, 6: 81})
2:Counter({5: 153, 8: 135, 7: 124, 0: 118, 9: 116, 3: 103, 2: 101, 1: 93, 4: 92, 6: 81})
1:Counter({5: 112, 2: 109, 9: 107, 3: 105, 0: 102, 4: 100, 7: 99, 1: 99, 6: 84, 8: 83})
1:Counter({9: 122, 0: 107, 7: 107, 8: 102, 1: 98, 6: 97, 3: 95, 4: 94, 5: 93, 2: 85})
1:Counter({5: 123, 4: 116, 3: 114, 8: 103, 9: 97, 1: 95, 0: 92, 7: 91, 2: 88, 6: 81})
1:Counter({7: 113, 5: 109, 6: 106, 3: 105, 0: 104, 2: 100, 1: 100, 8: 96, 9: 91, 4: 76})
1:Counter({0: 120, 7: 108, 2: 102, 1: 101, 8: 100, 5: 99, 9: 97, 4: 96, 3: 95, 6: 82})
1:Counter({0: 114, 8: 107, 9: 106, 3: 105, 5: 104, 1: 103, 2: 93, 7: 92, 4: 90, 6: 86})
1:Counter({7: 114, 8: 110, 6: 108, 0: 101, 2: 101, 4: 99, 9: 99, 3: 94, 1: 90, 5: 84})
1:Counter({7: 114, 5: 111, 3: 105, 6: 104, 8: 103, 1: 100, 0: 95, 9: 93, 4: 89, 2: 86})
1:Counter({3: 117, 6: 106, 5: 105, 7: 104, 2: 102, 1: 96, 8: 96, 9: 93, 0: 91, 4: 90})
1:Counter({4: 115, 7: 110, 6: 107, 0: 104, 9: 98, 8: 98, 2: 98, 5: 96, 3: 87, 1: 87})
1:Counter({5: 113, 7: 110, 1: 107, 8: 107, 6: 102, 2: 97, 4: 97, 0: 91, 3: 89, 9: 87})
1:Counter({2: 110, 3: 110, 1: 110, 9: 109, 5: 102, 0: 99, 8: 97, 7: 94, 4: 86, 6: 83})
1:Counter({7: 109, 9: 106, 1: 103, 2: 102, 6: 101, 4: 100, 5: 100, 0: 97, 3: 91, 8: 91})
1:Counter({2: 111, 8: 106, 4: 105, 0: 105, 5: 104, 1: 103, 6: 98, 3: 96, 9: 87, 7: 85})
1:Counter({7: 117, 5: 113, 2: 109, 6: 104, 3: 102, 1: 101, 4: 101, 8: 99, 0: 78, 9: 76})
1:Counter({0: 111, 3: 109, 5: 105, 1: 104, 8: 102, 9: 98, 4: 97, 2: 96, 7: 92, 6: 86})
2:Counter({0: 260, 9: 236, 1: 216, 3: 192, 8: 188, 7: 177, 2: 167, 5: 165, 4: 131, 6: 121})
1:Counter({1: 119, 7: 112, 2: 106, 8: 102, 6: 101, 3: 100, 5: 96, 9: 92, 4: 87, 0: 85})
2:Counter({1: 259, 9: 246, 7: 226, 3: 223, 5: 202, 0: 195, 2: 177, 8: 177, 6: 169, 4: 126})
